"label";"de";"default";"en"
"cancel";"Abbrechen";"Cancel";"Cancel"
"enum_background_destroyed_stone_tile";"Zerstörte Kacheln";"Destroyed Tiles";"Destroyed Tiles"
"enum_background_distressed_travertine_slab";"Verwittertes Travertin";"Distressed Travertin";"Distressed Travertin"
"enum_background_distressed_white_granit";"Verwitterte weißer Granit";"Distressed Whiute Granit";"Distressed Whiute Granite"
"enum_background_none";"Kein";"None";"None"
"enum_background_stone_with_moss";"Stein mit Moos";"Stone With Moss";"Stone With Moss"
"enum_background_weathered_granite_slab";"Verwitterter Granit";"Weathered Granite";"Weathered Granite"
"enum_outlinewidth_medium";"Mittel";"Medium";"Medium"
"enum_outlinewidth_none";"Keins";"None";"None"
"enum_outlinewidth_thick";"Dick";"Thick";"Thick"
"enum_outlinewidth_thin";"Dünn";"Thin";"Thin"
"enum_pattern_circles";"Kreise";"Circles";"Circles"
"enum_pattern_circles_bottom";"Kreise Unten";"Circles Bottom";"Circles Bottom"
"enum_pattern_circles_mid";"Kreise Mitte";"Circles Mid";"Circles Mid"
"enum_pattern_circles_top";"Kreise Oben";"Circles Top";"Circles Top"
"enum_pattern_circles_with_horizontal_lines";"Kreise mit horziontaler Linie";"Circles With Horizontal Lines";"Circles With Horizontal Lines"
"enum_pattern_circles_with_vertical_lines";"Kreise mit vertikaler Linie";"Circles With Vertical Lines";"Circles With Vertical Lines"
"enum_pattern_cuts";"Schnitte";"Cuts";"Cuts"
"enum_pattern_dots";"Punkte";"Dots";"Dots"
"enum_pattern_dots_full";"Punkte voll";"Dots Full";"Dots Full"
"enum_pattern_fire";"Feuer";"Fire";"Fire"
"enum_pattern_none";"Kein Muster";"No Pattern";"No Pattern"
"enum_pattern_skyline";"Skyline";"Skyline";"Skyline"
"enum_pattern_waves";"Wellen";"Waves";"Waves"
"enum_pattern_waves_with_line";"Wellen mit Linie";"Waves With Line";"Waves With Line"
"enum_patternsize_full";"Voll";"Full";"Full"
"enum_patternsize_half";"Halb";"Half";"Half"
"enum_patternsize_none";"Kein";"None";"None"
"enum_patternsize_quarter";"1/4";"1/4";"1/4"
"enum_patternsize_three_quarters";"3/4";"3/4";"3/4"
"enum_tracking_heavy";"Stark";"Heavy";"Heavy"
"enum_tracking_light";"Leicht";"Light";"Light"
"enum_tracking_medium";"Mittel";"Medium";"Medium"
"enum_tracking_none";"Keins";"None";"None"
"error_local_disk_full";"Die Festplatte ist voll.";"The hard drive is full.";"The hard drive is full."
"error_local_file_not_found";"Datei nicht gefunden.";"File not found.";"File not found."
"error_local_serialization";"Ergebnis konnte nicht analysiert werden.";"Result could not be analyzed.";"Result could not be analyzed."
"error_local_unknown";"Bei einem lokalen Vorgang ist ein unbekannter Fehler aufgetreten.";"An unknown error occurred during a local operation.";"An unknown error occurred during a local operation."
"error_local_wrong_filetype";"Der Dateityp wird nicht unterstützt.";"The filetype is not supported.";"The filetype is not supported."
"error_remote_no_internet";"Internetverbindung unterbrochen.";"Internet connection interrupted.";"Internet connection interrupted."
"error_remote_request_timeout";"Die Anfrage ist abgelaufen.";"The request has timed out.";"The request has timed out."
"error_remote_serialization";"Ergebnis konnte nicht analysiert werden.";"Result could not be analyzed.";"Result could not be analyzed."
"error_remote_unknown";"Bei einem Remote-Vorgang ist ein unbekannter Fehler aufgetreten.";"An unknown error occurred during a remote operation.";"An unknown error occurred during a remote operation."
"error_unknown_field";"Feld in der Konfiguration unbekannt.";"Field unknown in configuration.";"Field unknown in configuration."
"false";"Falsch.";"Invalid.";"Invalid."
"group_background";"Hintergrund";"Background";"Background"
"group_colors";"Farben";"Colors";"Colors"
"group_font";"Schrift";"Font";"Font"
"group_pattern";"Muster";"Pattern";"Pattern"
"group_text";"Text";"Text";"Text"
"label_all";"Alles";"All";"All"
"label_background_image";"Hintergrundbild";"Background Image";"Background Image"
"label_backgroundColor";"Hintergrundfarbe";"Background Color";"Background Color"
"label_baseColor";"Basisfarbe";"Base Color";"Base Color"
"label_bottomDotsColor";"Untere Punkte Farbe";"Bottom Dots Color";"Bottom Dots Color"
"label_characterTracking";"Unterschneidung";"Character Tracking";"Character Tracking"
"label_drawBehind";"Buchstaben umkehren";"Draw Behind";"Draw Behind"
"label_fontSize";"Schriftgöße";"Font Size";"Font Size"
"label_graffitiFont";"Schriftart";"Font";"Font"
"label_hostUrl";"Host URL";"Host URL";"Host URL"
"label_language";"Sprache";"Language";"Language"
"label_midDotsColor";"Mittlere Punkte Farbe";"Mid Dots Color";"Mid Dots Color"
"label_outlineColor";"Rahmenfarbe";"Outline Color";"Outline Color"
"label_outlineWidth";"Rahmendicke";"Outline Width";"Outline Width"
"label_pattern";"Muster";"Pattern";"Pattern"
"label_patternColor";"Musterfarbe";"Pattern Color";"Pattern Color"
"label_patternHeightFactor";"Muster Höhe (0.0 - 1.0)";"Pattern Height (0.0 - 1.0)";"Pattern Height (0.0 - 1.0)"
"label_priority";"Priorität";"Priority";"Priority"
"label_text";"Text";"Text";"Text"
"label_topDotsColor";"Obere Punkt Farbe";"Top Dots Color";"Top Dots Color"
"label_type";"Typ";"Type";"Type"
"language_bn";"Bangladesch";"Bangladesh";"Bangladesh"
"language_de";"Deutsch";"German";"German"
"language_en";"Englisch";"English";"English"
"ok";"Ok";"OK";"OK"
"search";"Suchen";"Search";"Search"
"stderr";"Fehlerausgabe";"Error Output";"Error Output"
"stdout";"Ausgabe";"Output";"Output"
"true";"True";"True";"True"
